player Name,matched_played,total_point,season
Pardeep Narwal,16,121,season 3
Rishank Devadiga,16,115,season 3
Rohit Kumar,12,109,season 3
Manjeet Chhillar,15,106,season 3
Rahul Chaudhari,13,99,season 3
Jang Kun Lee,15,90,season 3
Nitin Tomar,10,81,season 3
Rajesh Narwal,14,80,season 3
Anup Kumar,13,79,season 3
Kashiling Adake,11,78,season 3
Deepak Niwas Hooda,12,76,season 3
CPO Surjeet Singh,12,68,season 3
Sukesh Hegde,13,64,season 3
Sandeep Narwal,14,64,season 3
Ajay Thakur,14,56,season 3
Rohit Baliyan,11,56,season 3
Sonu Narwal,11,55,season 3
Pawan Kumar Sehrawat,13,53,season 3
Rakesh Kumar,15,51,season 3
PO Surjeet Singh,12,49,season 3
Meraj Sheykh,14,48,season 3
Jasmer Singh Gulia,16,46,season 3
Mohit Chhillar,13,46,season 3
Surender Singh,12,45,season 3
Surjeet Narwal,12,43,season 3
Ran Singh,14,41,season 3
Selvamani K,8,39,season 3
Bajirao Hodage,16,37,season 3
Deepak Kumar Dahiya,10,37,season 3
Dharmaraj Cheralathan,14,37,season 3
Nilesh Shinde,16,36,season 3
Amit Om Prakash Rathi,8,36,season 3
Mahesh Goud,13,34,season 3
Girish Maruti Ernak,11,34,season 3
Ravinder Pahal,11,34,season 3
Shrikant Tewthia,13,33,season 3
Deepak Narwal,9,33,season 3
Fazel Atrachali,11,33,season 3
Sandeep Kumar Dhull,10,32,season 3
Ashish Kumar,13,32,season 3
Jeeva Kumar,16,31,season 3
Sunil,15,30,season 3
Manpreet Singh,13,29,season 3
Rajesh Mondal,9,28,season 3
Mahendra Ganesh Rajput,8,26,season 3
Jasvir Singh,4,25,season 3
Somvir,14,22,season 3
Tushar Patil,13,22,season 3
Kuldeep Singh,10,21,season 3
Anil Kumar,11,21,season 3
Umesh Mhatre,6,19,season 3
Anil Shriram Nimbolkar,6,19,season 3
Hadi Oshtorak,10,18,season 3
Rohit Rana,12,18,season 3
D. Suresh Kumar,12,18,season 3
C. Arun,11,18,season 3
Manoj Kumar,11,17,season 3
Deepak Kumar Rathee,14,17,season 3
Vinod Kumar,9,16,season 3
Rohit Kumar Choudary,7,16,season 3
Vinoth Kumar,7,16,season 3
Vishal Mane,13,16,season 3
Surender Nada,7,14,season 3
Mohammad Maghshoudulu,10,14,season 3
Preetam Chhillar,11,14,season 3
Rahul Kumar,11,14,season 3
Mahipal Narwal,4,13,season 3
Shabeer Bappu,10,13,season 3
Bhupender Singh,11,12,season 3
Vikas Kale,9,12,season 3
Prashanth Kumar Rai,13,12,season 3
Shyam Kumar Sah,7,12,season 3
Amit Hooda,4,11,season 3
Nilesh Salunke,7,10,season 3
Gangadhari Mallesh,10,10,season 3
Shrikant Jadhav,5,10,season 3
Vineet Sharma,4,9,season 3
Ravi Kumar,12,9,season 3
Yogesh Hooda,6,8,season 3
Anil Kashinath Patil,5,8,season 3
Samarjeet Singh,5,8,season 3
Gnanasekaran M,8,7,season 3
Virender Wazir Singh,4,7,season 3
Sachin Shingade,2,6,season 3
Pawan Kumar Kadian,5,6,season 3
Rajaguru Subramanian,7,6,season 3
Gurvinder Singh,5,6,season 3
Amit Singh Chhillar,5,5,season 3
Seong Ryeol Kim,8,5,season 3
Nitin More,10,5,season 3
